,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
17,Player 103,FRANCE,BRAZIL,FRANCE,FRANCE,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL
18,Player 90,ARGENTINA,SOUTH KOREA,MOROCCO,MOROCCO,CROATIA,JAPAN,JAPAN,JAPAN,SOUTH KOREA,SOUTH KOREA
19,Player 57,FRANCE,COSTA RICA,FRANCE,FRANCE,FRANCE,CROATIA,CROATIA,NETHERLANDS,NETHERLANDS,COSTA RICA
20,Player 101,MOROCCO,SOUTH KOREA,MOROCCO,MOROCCO,MOROCCO,JAPAN,JAPAN,TUNISIA,IRAN,COSTA RICA
21,Player 100,ARGENTINA,SPAIN,CROATIA,CROATIA,MOROCCO,MOROCCO,MOROCCO,BRAZIL,NETHERLANDS,ENGLAND
22,Player 104,JAPAN,CROATIA,MOROCCO,SWITZERLAND,SENEGAL,JAPAN,CROATIA,SOUTH KOREA,FRANCE,TUNISIA
23,Player 37,COSTA RICA,FRANCE,GHANA,IRAN,MOROCCO,JAPAN,SAUDI ARABIA,ARGENTINA,SENEGAL,CROATIA
24,Player 65,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL,PORTUGAL,BRAZIL,BRAZIL
25,Player 49,MOROCCO,ARGENTINA,MOROCCO,MOROCCO,MOROCCO,NETHERLANDS,NETHERLANDS,ENGLAND,PORTUGAL,ARGENTINA
26,Player 58,CROATIA,ARGENTINA,CROATIA,CROATIA,MOROCCO,MOROCCO,MOROCCO,MOROCCO,FRANCE,ARGENTINA
27,Player 46,MOROCCO,AUSTRALIA,MOROCCO,MOROCCO,CROATIA,CROATIA,JAPAN,JAPAN,SOUTH KOREA,SOUTH KOREA
28,Player 52,ARGENTINA,JAPAN,ARGENTINA,CROATIA,CROATIA,MOROCCO,MOROCCO,USA,PORTUGAL,PORTUGAL
29,Player 88,MOROCCO,SWITZERLAND,CROATIA,USA,PORTUGAL,SOUTH KOREA,JAPAN,JAPAN,SOUTH KOREA,MOROCCO
30,Player 48,IRAN,ECUADOR,IRAN,ARGENTINA,ARGENTINA,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA,CAMEROON
31,Player 47,ARGENTINA,FRANCE,ARGENTINA,SENEGAL,SENEGAL,MOROCCO,JAPAN,JAPAN,MOROCCO,FRANCE
32,Player 105,NETHERLANDS,JAPAN,FRANCE,ARGENTINA,ARGENTINA,MOROCCO,CROATIA,SOUTH KOREA,TUNISIA,MOROCCO
33,Player 43,CROATIA,NETHERLANDS,CROATIA,CROATIA,CROATIA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,MOROCCO
34,Player 95,ARGENTINA,SWITZERLAND,BRAZIL,FRANCE,MOROCCO,JAPAN,SOUTH KOREA,TUNISIA,AUSTRALIA,USA
35,Player 27,MOROCCO,JAPAN,MOROCCO,MOROCCO,MOROCCO,COSTA RICA,COSTA RICA,SENEGAL,AUSTRALIA,SOUTH KOREA
36,Player 67,AUSTRALIA,CROATIA,AUSTRALIA,JAPAN,JAPAN,MOROCCO,MOROCCO,MOROCCO,CROATIA,CROATIA
37,Player 19,SOUTH KOREA,NETHERLANDS,MOROCCO,CROATIA,FRANCE,ARGENTINA,ARGENTINA,JAPAN,SENEGAL,USA
38,Player 79,JAPAN,ECUADOR,SENEGAL,SWITZERLAND,COSTA RICA,CAMEROON,ARGENTINA,FRANCE,MOROCCO,CROATIA
39,Player 53,ARGENTINA,BRAZIL,ARGENTINA,MOROCCO,MOROCCO,FRANCE,FRANCE,BELGIUM,CAMEROON,SPAIN
40,Player 25,ARGENTINA,AUSTRALIA,ARGENTINA,FRANCE,MOROCCO,MOROCCO,MOROCCO,MOROCCO,JAPAN,JAPAN
41,Player 106,AUSTRALIA,FRANCE,CROATIA,CROATIA,MOROCCO,MOROCCO,SOUTH KOREA,IRAN,BRAZIL,COSTA RICA
42,Player 62,SOUTH KOREA,CROATIA,SOUTH KOREA,SOUTH KOREA,SOUTH KOREA,MOROCCO,MOROCCO,MOROCCO,CROATIA,CROATIA
43,Player 80,CROATIA,FRANCE,CROATIA,CROATIA,MOROCCO,MOROCCO,MOROCCO,ENGLAND,ENGLAND,FRANCE
44,Player 55,MOROCCO,CROATIA,MOROCCO,MOROCCO,ARGENTINA,ARGENTINA,SWITZERLAND,JAPAN,JAPAN,CROATIA
45,Player 97,MOROCCO,CROATIA,MOROCCO,MOROCCO,JAPAN,NETHERLANDS,ARGENTINA,ARGENTINA,CROATIA,CROATIA
46,Player 93,MOROCCO,ARGENTINA,MOROCCO,CROATIA,CROATIA,JAPAN,JAPAN,FRANCE,ARGENTINA,ARGENTINA
47,Player 64,IRAN,MOROCCO,SOUTH KOREA,SAUDI ARABIA,SWITZERLAND,CAMEROON,COSTA RICA,TUNISIA,JAPAN,MOROCCO
48,Player 109,MOROCCO,SOUTH KOREA,FRANCE,CROATIA,AUSTRALIA,AUSTRALIA,PORTUGAL,ARGENTINA,CROATIA,CROATIA
