,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
70,Player 71,SWITZERLAND,BRAZIL,SWITZERLAND,DENMARK,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL
71,Player 72,BRAZIL,BRAZIL,NETHERLANDS,BELGIUM,SPAIN,ENGLAND,FRANCE,GERMANY,PORTUGAL,ARGENTINA
72,Player 73,SERBIA,BRAZIL,MOROCCO,FRANCE,SPAIN,SENEGAL,NETHERLANDS,ENGLAND,ARGENTINA,QATAR
73,Player 74,FRANCE,BELGIUM,FRANCE,FRANCE,PORTUGAL,PORTUGAL,PORTUGAL,BRAZIL,ENGLAND,NETHERLANDS
74,Player 75,SENEGAL,ARGENTINA,SENEGAL,SENEGAL,DENMARK,DENMARK,URUGUAY,URUGUAY,SERBIA,ARGENTINA
75,Player 76,ENGLAND,NETHERLANDS,ENGLAND,ENGLAND,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,NETHERLANDS
76,Player 77,SENEGAL,POLAND,SENEGAL,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,PORTUGAL,BRAZIL,GERMANY
77,Player 78,PORTUGAL,SPAIN,PORTUGAL,PORTUGAL,FRANCE,ENGLAND,ENGLAND,QATAR,SENEGAL,SPAIN
78,Player 79,ARGENTINA,SERBIA,BRAZIL,FRANCE,CROATIA,SERBIA,CROATIA,GHANA,BELGIUM,SENEGAL
79,Player 80,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,ENGLAND,ENGLAND,ARGENTINA,ARGENTINA
80,Player 81,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,SPAIN,ENGLAND,PORTUGAL
81,Player 82,BRAZIL,GERMANY,BRAZIL,FRANCE,FRANCE,FRANCE,DENMARK,DENMARK,GERMANY,GERMANY
82,Player 83,NETHERLANDS,POLAND,NETHERLANDS,NETHERLANDS,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,GHANA
83,Player 84,NETHERLANDS,SPAIN,NETHERLANDS,USA,ARGENTINA,FRANCE,FRANCE,PORTUGAL,BRAZIL,GERMANY
84,Player 85,NETHERLANDS,DENMARK,ENGLAND,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,PORTUGAL,GERMANY
85,Player 86,ENGLAND,PORTUGAL,ENGLAND,FRANCE,FRANCE,GERMANY,GERMANY,SERBIA,SERBIA,PORTUGAL
86,Player 87,ARGENTINA,FRANCE,PORTUGAL,BRAZIL,FRANCE,ARGENTINA,PORTUGAL,SPAIN,BRAZIL,BRAZIL
87,Player 88,PORTUGAL,PORTUGAL,DENMARK,GERMANY,CROATIA,MEXICO,URUGUAY,SWITZERLAND,USA,GERMANY
88,Player 89,SERBIA,ENGLAND,SERBIA,SERBIA,CROATIA,CROATIA,CROATIA,GERMANY,GERMANY,ENGLAND
89,Player 90,SOUTH KOREA,ENGLAND,GERMANY,BRAZIL,BRAZIL,SPAIN,GERMANY,GERMANY,SPAIN,SPAIN
90,Player 91,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,BELGIUM,BELGIUM,BELGIUM,BELGIUM,ARGENTINA
91,Player 92,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,FRANCE,ENGLAND,ENGLAND,ARGENTINA
92,Player 93,ARGENTINA,BELGIUM,ARGENTINA,ARGENTINA,NETHERLANDS,URUGUAY,BRAZIL,BRAZIL,SERBIA,ENGLAND
93,Player 94,BRAZIL,SENEGAL,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,ENGLAND,ENGLAND,GERMANY
94,Player 95,GERMANY,SPAIN,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN
95,Player 96,ARGENTINA,SPAIN,ARGENTINA,PORTUGAL,PORTUGAL,GERMANY,SENEGAL,FRANCE,FRANCE,BRAZIL
96,Player 97,BRAZIL,BELGIUM,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,GERMANY,GERMANY,FRANCE
97,Player 98,ARGENTINA,SPAIN,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BELGIUM,BELGIUM,ENGLAND,SPAIN
98,Player 99,BRAZIL,CANADA,BRAZIL,BRAZIL,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS
99,Player 100,ARGENTINA,GERMANY,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,PORTUGAL,PORTUGAL
100,Player 101,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,PORTUGAL
101,Player 102,SAUDI ARABIA,CAMEROON,ECUADOR,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,SENEGAL,GERMANY,USA
102,Player 103,BRAZIL,GERMANY,BRAZIL,BELGIUM,BELGIUM,FRANCE,FRANCE,ENGLAND,ENGLAND,NETHERLANDS
103,Player 104,SENEGAL,BELGIUM,WALES,ARGENTINA,DENMARK,SPAIN,CROATIA,GERMANY,URUGUAY,BELGIUM
104,Player 105,DENMARK,MOROCCO,NETHERLANDS,MEXICO,URUGUAY,BRAZIL,CROATIA,SPAIN,NETHERLANDS,ARGENTINA
105,Player 106,AUSTRALIA,USA,AUSTRALIA,NETHERLANDS,JAPAN,BRAZIL,BRAZIL,URUGUAY,URUGUAY,AUSTRALIA
106,Player 107,ARGENTINA,SENEGAL,POLAND,DENMARK,MEXICO,ENGLAND,BRAZIL,FRANCE,GERMANY,SENEGAL
107,Player 108,BRAZIL,GERMANY,BRAZIL,GERMANY,BELGIUM,GERMANY,ARGENTINA,FRANCE,BRAZIL,NETHERLANDS
108,Player 109,BELGIUM,SPAIN,BRAZIL,ENGLAND,FRANCE,FRANCE,GHANA,GHANA,NETHERLANDS,SENEGAL
